               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.016434,           0.0073148,                   0,             0.99906,                   1,               0.995,              0.7502,            0.023482,           0.0035818,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.016429,           0.0072902,                   0,             0.99923,                   1,               0.995,             0.75326,             0.02238,           0.0035868,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.01693,           0.0073798,                   0,              0.9989,                   1,               0.995,             0.75469,             0.02012,           0.0035224,                   0,            0.002179,            0.002179,            0.002179
                  81,             0.01633,           0.0071636,                   0,             0.99728,                   1,               0.995,             0.71999,            0.020812,           0.0034285,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.01695,           0.0074554,                   0,             0.99689,                   1,               0.995,             0.71124,             0.02186,           0.0034108,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.017825,           0.0073523,                   0,             0.99692,                   1,               0.995,             0.76002,            0.020642,           0.0033906,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.016341,            0.006602,                   0,             0.99638,                   1,               0.995,             0.73757,            0.022009,           0.0034282,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.017052,           0.0072387,                   0,             0.99621,                   1,               0.995,             0.73536,            0.023092,           0.0034602,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.015098,             0.00659,                   0,             0.99656,                   1,               0.995,             0.73851,             0.02274,           0.0034776,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.016148,           0.0071276,                   0,             0.99634,                   1,               0.995,              0.7411,            0.022419,           0.0034137,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.015945,           0.0066907,                   0,             0.99675,                   1,               0.995,             0.74807,            0.021674,           0.0034335,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.015504,           0.0067145,                   0,             0.99678,                   1,               0.995,             0.75102,             0.02133,           0.0034919,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.01453,           0.0070111,                   0,             0.99645,                   1,               0.995,             0.75067,            0.021906,           0.0035141,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.016693,           0.0068439,                   0,              0.9965,                   1,               0.995,             0.74903,            0.022335,           0.0035408,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.015749,           0.0068464,                   0,             0.99664,                   1,               0.995,             0.76352,            0.021382,           0.0035539,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.015904,            0.006882,                   0,             0.99618,                   1,               0.995,             0.76853,            0.021433,             0.00352,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.014399,           0.0066867,                   0,             0.99605,                   1,               0.995,             0.75543,            0.021297,           0.0034986,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.015691,           0.0068149,                   0,             0.99631,                   1,               0.995,             0.75441,            0.020606,           0.0034866,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.015624,           0.0074486,                   0,             0.99629,                   1,               0.995,             0.73018,             0.02103,           0.0035131,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.015439,           0.0067564,                   0,             0.99635,                   1,               0.995,             0.73157,            0.021774,           0.0035203,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.015918,           0.0065175,                   0,             0.99628,                   1,               0.995,             0.72185,            0.022018,             0.00353,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.016645,           0.0072678,                   0,             0.99625,                   1,               0.995,              0.7322,            0.021891,           0.0035086,                   0,            0.000298,            0.000298,            0.000298
